count,label,uid
17,9-Nov,117215
1,9-Nov,192812
1,9-Nov,618
1,9-Nov,143280
2,9-Nov,128585
9,9-Nov,73820
3,9-Nov,11834
2,9-Nov,417292
1,9-Nov,12320
4,9-Nov,39809
5,9-Nov,30618
1,9-Nov,113124
36,9-Nov,189361
3,9-Nov,78613
117,9-Nov,67566
3,9-Nov,144012
2,9-Nov,2892
17,9-Nov,48684
42,9-Nov,98713
1,9-Nov,103043
1,9-Nov,192210
9,9-Nov,120261
32,9-Nov,13724
10,9-Nov,188268
1,9-Nov,139766
16,9-Nov,1431
1,9-Nov,117658
3,9-Nov,44765
3,9-Nov,147320
2,9-Nov,105536
11,9-Nov,35829
4,9-Nov,56285
4,9-Nov,171206
24,9-Nov,174614
1,9-Nov,1249
5,9-Nov,14467
1,9-Nov,784
3,9-Nov,69283
2,9-Nov,22080
9,9-Nov,207716
4,9-Nov,13986
6,9-Nov,7734
6,9-Nov,90025
1,9-Nov,108044
3,9-Nov,17343
1,9-Nov,15622
9,9-Nov,155201
1,9-Nov,220299
1,9-Nov,8521
37,9-Nov,9021
3,9-Nov,13188
43,9-Nov,23897
9,9-Nov,29125
1,9-Nov,135549
3,9-Nov,1084
43,9-Nov,14637
1,9-Nov,52210
4,9-Nov,1088
5,9-Nov,28832
13,9-Nov,18804
2,9-Nov,88173
14,9-Nov,33051
1,9-Nov,144846
7,9-Nov,7034
3,9-Nov,2372835
1,9-Nov,68054
10,9-Nov,12280
4,9-Nov,3571
1,9-Nov,8090
1,9-Nov,15124
3,8-Nov,35478
31,8-Nov,35116
1,8-Nov,2089740
18,8-Nov,10893
2,8-Nov,4092
1,8-Nov,3205
2,8-Nov,35344
7,8-Nov,36429
2,8-Nov,38522
2,8-Nov,1577190
1,8-Nov,41489
1,8-Nov,32465
15,8-Nov,38686
4,8-Nov,36702
15,8-Nov,33987
6,8-Nov,8376
4,8-Nov,109
11,8-Nov,39622
1,8-Nov,41718
8,8-Nov,6349
3,8-Nov,20487
1,8-Nov,40914
12,8-Nov,19468
3,8-Nov,2942
5,8-Nov,14122
1,8-Nov,582
12,8-Nov,3410
84,8-Nov,33006
50,8-Nov,21755
1,8-Nov,533
3,8-Nov,1606
4,8-Nov,20504
6,8-Nov,30529
1,8-Nov,4928
1,8-Nov,46
4,8-Nov,20840
1,8-Nov,24895
2,8-Nov,20138
3,8-Nov,6583
3,8-Nov,30579
1,8-Nov,38256
1,8-Nov,29347
1,8-Nov,23512
2,8-Nov,7370
1,8-Nov,27678
1,8-Nov,13281
10,8-Nov,18866
1,8-Nov,10778
1,8-Nov,1575281
17,8-Nov,748
5,8-Nov,22710
1,8-Nov,17089
1,8-Nov,23616
3,8-Nov,718
4,8-Nov,13370
1,8-Nov,23666
11,8-Nov,25920
6,8-Nov,16794
2,8-Nov,18093
36,8-Nov,36384
3,8-Nov,21501
1,8-Nov,17675
2,8-Nov,5147
1,8-Nov,31985
1,8-Nov,21640
8,8-Nov,40714
2,8-Nov,2954
1,8-Nov,24109
11,8-Nov,23909
17,8-Nov,30354
2,8-Nov,14337
2,8-Nov,18296
2,8-Nov,13924
1,8-Nov,12034
2,8-Nov,30700
7,8-Nov,16582
3,8-Nov,767
5,8-Nov,1367
3,8-Nov,36191
3,8-Nov,1975282
58,8-Nov,6461
4,8-Nov,15485
1,8-Nov,16271
1,8-Nov,446733
22,8-Nov,29900
3,8-Nov,25824
1,8-Nov,648
1,8-Nov,24197
14,8-Nov,11963
8,8-Nov,148
2,8-Nov,52175
6,8-Nov,5628
2,8-Nov,27835
1,8-Nov,4913
2,8-Nov,13216
2,8-Nov,9908
2,8-Nov,1200558
5,8-Nov,21038
3,8-Nov,6329
3,8-Nov,19404
7,8-Nov,7136
1,8-Nov,6486
2,8-Nov,245
9,8-Nov,12320
1,8-Nov,4926
5,8-Nov,30618
7,8-Nov,52490
3,8-Nov,2892
7,8-Nov,4950
1,8-Nov,29432
3,8-Nov,1284
2,8-Nov,8844
1,8-Nov,9269
5,8-Nov,17815
3,8-Nov,25333
1,8-Nov,17343
4,8-Nov,445
1,8-Nov,8521
1,8-Nov,41200
10,9-Oct,30568
15,9-Oct,83805
5,9-Oct,10527
1,9-Oct,5836
1,9-Oct,16800
14,9-Oct,7919
23,9-Oct,1070
4,9-Oct,83144
28,9-Oct,168212
16,9-Oct,95612
11,9-Oct,1288
2,9-Oct,75224
8,9-Oct,14149
6,9-Oct,15609
7,9-Oct,74118
20,9-Oct,10893
54,9-Oct,50742
7,9-Oct,129655
9,9-Oct,5618
2,9-Oct,68204
3,9-Oct,85514
1,9-Oct,43151
10,9-Oct,4321
3,9-Oct,270
19,9-Oct,28875
1,9-Oct,1820
1,9-Oct,24433
27,9-Oct,47161
75,9-Oct,1831
8,9-Oct,75956
17,9-Oct,85170
23,9-Oct,34855
1,9-Oct,108578
1,9-Oct,57757
1,9-Oct,187986
20,9-Oct,44540
4,9-Oct,178385
4,9-Oct,20
1,9-Oct,449902
6,9-Oct,82
24,9-Oct,26620
2,9-Oct,117104
3,9-Oct,184773
15,9-Oct,158014
2,9-Oct,65060
20,9-Oct,143725
1,9-Oct,41489
3,9-Oct,7890
1,9-Oct,110213
67,9-Oct,93623
4,9-Oct,119895
6,9-Oct,144491
10,9-Oct,12195
3,9-Oct,38686
2,9-Oct,47773
1,9-Oct,101762
55,9-Oct,138475
8,9-Oct,169484
93,9-Oct,73070
1,9-Oct,2119053
16,9-Oct,13663
1,9-Oct,39371
3,9-Oct,16089
3,9-Oct,4228
4,9-Oct,63485
2,9-Oct,20553
102,9-Oct,139396
9,9-Oct,9842
4,9-Oct,20938
4,9-Oct,73109
3,9-Oct,149341
14,9-Oct,164075
3,9-Oct,158701
1,9-Oct,98048
30,9-Oct,127549
1,9-Oct,67468
7,9-Oct,36702
6,9-Oct,107591
18,9-Oct,17279
1,9-Oct,14256
30,9-Oct,145346
3,9-Oct,6198
5,9-Oct,65732
2,9-Oct,153285
1,9-Oct,41021
